open,close,high,low,value,quantity,end
249.96,251.95,252.5,249.13,2645925011.3,10532910,2020-01-15 17:59:59
251.92,251.3,252.0,250.71,1058787314.3999999,4212430,2020-01-15 18:59:59
251.9,251.9,251.9,251.9,10942536.0,43440,2020-01-16 09:59:59
251.87,253.48,254.4,251.5,1862678500.3999991,7351750,2020-01-16 10:59:59
253.41,253.68,253.98,252.82,1285711046.4999998,5074040,2020-01-16 11:59:59
253.63,252.9,253.8,252.3,1198219885.1,4733320,2020-01-16 12:59:59
252.9,254.06,254.3,252.6,875656992.6999998,3453780,2020-01-16 13:59:59
254.1,253.4,254.39,253.25,540483892.1,2127800,2020-01-16 14:59:59
253.43,253.79,254.24,253.27,411516697.9999998,1621500,2020-01-16 15:59:59
253.8,254.07,254.5,253.44,1392365207.9999995,5479510,2020-01-16 16:59:59
254.03,254.1,254.54,254.0,1100562553.0000005,4329850,2020-01-16 17:59:59
254.12,254.26,254.3,254.0,1073247440.2000002,4222860,2020-01-16 18:59:59
254.75,254.75,254.75,254.75,33165902.5,130190,2020-01-17 09:59:59
254.76,255.44,255.64,253.8,1214972134.1,4767230,2020-01-17 10:59:59
255.48,255.91,256.29,255.12,1216522973.3,4754820,2020-01-17 11:59:59
255.98,256.05,256.49,255.39,1069410831.7999997,4176270,2020-01-17 12:59:59
256.06,256.16,256.6,254.1,2478675317.700001,9689140,2020-01-17 13:59:59
256.17,255.79,256.6,255.44,777255957.8,3035070,2020-01-17 14:59:59
255.74,255.13,255.97,254.87,598244650.6,2341740,2020-01-17 15:59:59
255.09,254.97,255.35,254.8,530198457.8999999,2079570,2020-01-17 16:59:59
255.0,255.2,255.59,254.8,633417913.3000002,2483460,2020-01-17 17:59:59
255.19,255.39,255.87,254.84,2222005642.0,8701310,2020-01-17 18:59:59
255.66,255.66,255.66,255.66,3269891.400000001,12790,2020-01-20 09:59:59
255.65,254.76,256.1,254.19,1157227967.5999997,4535540,2020-01-20 10:59:59
254.8,255.56,256.03,254.76,1154392346.6000001,4518310,2020-01-20 11:59:59
255.59,254.73,255.66,254.44,1161247177.5999997,4554450,2020-01-20 12:59:59
254.73,253.97,255.05,253.89,922631812.2000002,3627290,2020-01-20 13:59:59
253.97,254.59,254.59,253.73,466262882.29999995,1835260,2020-01-20 14:59:59
254.57,254.38,254.59,254.1,265521571.59999996,1043660,2020-01-20 15:59:59
254.38,254.01,254.45,253.75,456093438.10000014,1795470,2020-01-20 16:59:59
254.01,253.4,254.05,253.26,657266968.3999994,2591280,2020-01-20 17:59:59
253.39,253.5,254.09,253.01,1382655465.1000001,5456210,2020-01-20 18:59:59
253.25,253.25,253.25,253.25,34581287.5,136550,2020-01-21 09:59:59
