Open,High,Low,Close,Adj Close,Volume
16710.3828125,16744.958984375,16709.197265625,16741.478515625,16741.478515625,331211776
16741.337890625,16837.29296875,16740.86328125,16837.29296875,16837.29296875,898331648
16840.0390625,16876.052734375,16840.0390625,16859.3515625,16859.3515625,638460928
16858.435546875,16859.533203125,16845.05859375,16855.123046875,16855.123046875,59361280
16854.87890625,16871.296875,16851.451171875,16871.296875,16871.296875,0
16871.177734375,16884.5703125,16856.861328125,16870.26953125,16870.26953125,98355200
16871.8359375,16886.140625,16848.37109375,16869.171875,16869.171875,298249216
16869.642578125,16869.642578125,16845.3828125,16847.53125,16847.53125,0
16848.1328125,16851.654296875,16840.9921875,16845.255859375,16845.255859375,31297536
16845.841796875,16854.9296875,16841.96875,16847.41015625,16847.41015625,3552256
16846.962890625,16848.9921875,16817.544921875,16822.00390625,16822.00390625,159467520
