open,close,high,low,value,quantity,end
56.3,56.36,56.36,56.18,9392108.4,166900,2022-02-04 22:59:59
56.36,56.18,56.4,56.18,7678109.6000000015,136390,2022-02-04 23:59:58
56.34,56.34,56.34,56.34,1690.1999999999998,30,2022-02-07 06:59:59
56.5,56.3,56.5,55.94,13037951.0,232180,2022-02-07 07:59:59
56.3,56.2,56.32,56.14,2199006.000000001,39110,2022-02-07 08:59:59
56.24,56.68,56.7,56.1,15149250.199999994,268320,2022-02-07 09:59:59
56.66,56.6,56.78,56.18,33001486.400000002,583910,2022-02-07 10:59:59
56.6,56.38,56.6,56.06,24030593.19999999,427210,2022-02-07 11:59:59
56.34,56.04,56.42,55.82,24142281.200000007,430630,2022-02-07 12:59:59
56.04,56.0,56.16,55.74,23462578.8,419530,2022-02-07 13:59:59
56.0,56.0,56.38,56.0,20334025.400000006,361660,2022-02-07 14:59:59
56.04,56.18,56.3,55.94,14302184.599999996,254860,2022-02-07 15:59:59
56.2,56.1,56.2,56.02,6511310.400000001,116060,2022-02-07 16:59:59
56.08,56.06,56.16,55.96,16285154.400000004,290510,2022-02-07 17:59:59
56.06,55.9,56.08,55.76,33395819.80000002,597320,2022-02-07 18:49:07
55.98,55.96,56.18,55.96,5565803.000000001,99280,2022-02-07 19:59:59
55.96,56.02,56.1,55.92,4746231.200000001,84770,2022-02-07 20:59:59
56.1,56.06,56.14,56.02,3487178.5999999987,62180,2022-02-07 21:59:59
56.1,56.2,56.26,56.06,12935214.8,230310,2022-02-07 22:59:59
56.24,56.18,56.3,56.18,7992881.599999999,142140,2022-02-07 23:59:58
56.36,56.36,56.36,56.36,56360.0,1000,2022-02-08 06:59:59
56.36,56.14,56.36,55.98,8045935.8,143370,2022-02-08 07:59:59
56.14,56.08,56.14,56.0,6515300.6,116190,2022-02-08 08:59:59
56.08,56.48,56.54,56.08,22234012.400000006,394500,2022-02-08 09:59:59
56.5,56.24,56.7,56.2,37444171.79999998,663310,2022-02-08 10:59:59
56.34,56.34,56.48,56.12,32052158.4,569620,2022-02-08 11:59:59
56.34,56.36,56.5,56.12,51435712.19999999,913060,2022-02-08 12:59:59
56.36,56.56,56.66,56.26,49636615.40000002,879440,2022-02-08 13:59:59
56.56,56.74,56.76,56.46,26725261.199999988,472250,2022-02-08 14:59:59
56.74,56.7,56.8,56.54,94761118.60000002,1673360,2022-02-08 15:59:59
56.72,56.28,56.76,56.14,46228681.4,820620,2022-02-08 16:59:59
56.28,56.48,56.62,56.26,21313327.599999998,377740,2022-02-08 17:59:59
56.5,56.64,56.66,56.44,21431080.999999996,378840,2022-02-08 18:59:59
56.66,57.18,57.3,56.62,51622455.199999996,906710,2022-02-08 19:59:59
57.18,57.0,57.28,56.86,14818847.000000004,259800,2022-02-08 20:59:59
57.0,57.0,57.04,56.86,12003560.8,210940,2022-02-08 21:59:59
57.0,57.06,57.08,56.92,4966036.000000001,87120,2022-02-08 22:59:59
57.06,57.18,57.28,57.0,10086519.0,176490,2022-02-08 23:59:52
57.42,57.42,57.42,57.42,57420.0,1000,2022-02-09 06:59:59
57.32,57.76,57.96,57.24,28915327.79999999,501460,2022-02-09 07:59:59
57.76,57.68,58.1,57.6,42836138.199999996,740940,2022-02-09 08:59:59
57.68,57.64,57.92,57.58,24332214.0,421270,2022-02-09 09:59:59
57.7,57.44,57.72,57.16,147012124.79999992,2563340,2022-02-09 10:59:59
57.46,57.76,57.92,57.26,98224827.20000002,1704980,2022-02-09 11:59:59
57.78,57.78,57.88,57.52,30822535.999999996,533760,2022-02-09 12:59:59
57.74,57.54,57.82,57.44,93503012.39999998,1624690,2022-02-09 13:59:59
57.54,57.54,57.6,57.3,30517920.80000001,531220,2022-02-09 14:59:59
57.56,57.36,57.64,57.28,34082143.4,593440,2022-02-09 15:59:59
57.36,57.62,57.66,57.26,49273712.8,856740,2022-02-09 16:59:59
57.62,57.98,58.22,57.36,341435143.1999997,5901220,2022-02-09 17:59:59
57.98,58.3,58.3,57.98,92302586.8,1586840,2022-02-09 18:59:59
58.3,58.18,58.38,58.08,21463071.800000004,368780,2022-02-09 19:59:59
58.14,58.2,58.2,57.96,16927091.0,291390,2022-02-09 20:59:59
58.14,58.58,58.8,58.12,84767527.99999997,1447900,2022-02-09 21:59:59
58.58,59.14,59.26,58.5,79294540.20000003,1346500,2022-02-09 22:59:59
59.16,59.2,59.5,59.04,47064306.999999985,794190,2022-02-09 23:59:48
59.1,59.1,59.1,59.1,23640.0,400,2022-02-10 06:59:59
59.1,58.72,59.1,58.5,26381740.19999998,449390,2022-02-10 07:59:59
58.66,58.58,58.72,58.44,21708524.600000013,370670,2022-02-10 08:59:59
58.62,59.0,59.18,58.62,23352349.200000003,395840,2022-02-10 09:59:59
59.0,59.74,60.22,58.38,414802472.6000001,6987300,2022-02-10 10:59:59
59.74,59.3,59.88,59.3,92158704.99999999,1544850,2022-02-10 11:59:59
59.3,59.88,60.08,59.3,89274761.99999996,1495540,2022-02-10 12:59:59
59.88,60.48,60.48,59.82,112305094.59999998,1867310,2022-02-10 13:59:59
60.48,61.04,61.52,60.42,379507468.0000001,6204910,2022-02-10 14:59:59
61.0,61.38,61.44,60.88,87584346.39999999,1431780,2022-02-10 15:59:59
